Delivery_person_ID,avg_age,avg_rating,avg_vehicle_condition,primary_vehicle,n_deliveries,avg_time_taken,experience_score,reliability_score
AGRRES010DEL01,30.928571428571427,4.757142857142857,0.8571428571428571,motorcycle,14,24.5,0.208955223880597,0.728686567164179
AGRRES010DEL02,29.066666666666666,4.673333333333333,0.9333333333333333,motorcycle,15,28.8,0.22388059701492538,0.7214308457711441
AGRRES010DEL03,29.53846153846154,4.6,1.3846153846153846,motorcycle,13,27.615384615384617,0.19402985074626866,0.7022089552238805
AGRRES01DEL01,30.583333333333332,4.566666666666666,1.25,scooter,12,26.833333333333332,0.1791044776119403,0.6930646766169154
AGRRES01DEL02,30.571428571428573,4.7,1.2857142857142858,motorcycle,14,24.428571428571427,0.208955223880597,0.7206865671641791
AGRRES01DEL03,30.214285714285715,4.585714285714286,1.0,motorcycle,14,23.928571428571427,0.208955223880597,0.7046865671641791
AGRRES02DEL01,30.09090909090909,4.7,0.8181818181818182,motorcycle,11,30.818181818181817,0.16417910447761194,0.7072537313432836
AGRRES02DEL02,26.5,4.61,1.0,motorcycle,10,26.7,0.14925373134328357,0.6901761194029851
AGRRES02DEL03,32.5,4.625,1.125,motorcycle,8,25.5,0.11940298507462686,0.6833208955223881
AGRRES03DEL01,29.0,4.730769230769231,0.9230769230769231,motorcycle,13,28.76923076923077,0.19402985074626866,0.7205166475315729
AGRRES03DEL02,24.583333333333332,4.741666666666666,1.0833333333333333,motorcycle,12,21.25,0.1791044776119403,0.7175646766169154
AGRRES03DEL03,28.76923076923077,4.676923076923077,1.0,motorcycle,13,24.153846153846153,0.19402985074626866,0.7129781859931114
AGRRES04DEL01,29.333333333333332,4.733333333333333,0.9166666666666666,motorcycle,12,26.333333333333332,0.1791044776119403,0.7163980099502487
AGRRES04DEL02,30.333333333333332,4.766666666666667,0.9166666666666666,motorcycle,12,28.916666666666668,0.1791044776119403,0.7210646766169154
AGRRES04DEL03,27.727272727272727,4.627272727272728,0.9090909090909091,motorcycle,11,27.09090909090909,0.16417910447761194,0.6970719131614654
AGRRES05DEL01,26.555555555555557,4.699999999999999,1.1111111111111112,motorcycle,9,24.555555555555557,0.13432835820895522,0.6982985074626864
AGRRES05DEL02,30.785714285714285,4.55,1.0,motorcycle,14,27.357142857142858,0.208955223880597,0.699686567164179
AGRRES05DEL03,29.066666666666666,4.653333333333333,1.1333333333333333,motorcycle,15,24.6,0.22388059701492538,0.7186308457711442
AGRRES06DEL01,32.07142857142857,4.571428571428571,1.2857142857142858,motorcycle,14,25.857142857142858,0.208955223880597,0.702686567164179
AGRRES06DEL02,30.833333333333332,4.683333333333334,1.1666666666666667,motorcycle,12,24.333333333333332,0.1791044776119403,0.7093980099502488
AGRRES06DEL03,28.5,4.67,1.3,motorcycle,10,24.9,0.14925373134328357,0.698576119402985
AGRRES07DEL01,29.454545454545453,4.627272727272727,1.0,scooter,11,30.181818181818183,0.16417910447761194,0.6970719131614653
AGRRES07DEL02,29.076923076923077,4.615384615384615,1.2307692307692308,motorcycle,13,25.615384615384617,0.19402985074626866,0.7043628013777267
AGRRES07DEL03,29.733333333333334,4.64,1.0666666666666667,motorcycle,15,28.266666666666666,0.22388059701492538,0.7167641791044775
AGRRES08DEL01,27.09090909090909,4.790909090909091,0.5454545454545454,motorcycle,11,30.272727272727273,0.16417910447761194,0.7199810040705563
AGRRES08DEL02,30.4,4.693333333333333,0.9333333333333333,motorcycle,15,29.933333333333334,0.22388059701492538,0.7242308457711442
AGRRES08DEL03,29.5625,4.6,1.0625,motorcycle,16,23.4375,0.23880597014925373,0.715641791044776
AGRRES09DEL01,30.923076923076923,4.676923076923076,1.3076923076923077,motorcycle,13,27.846153846153847,0.19402985074626866,0.7129781859931112
